run_id,scenario,seed,mpc_mode,status,valid_run,invalid_reason,effective_sample_count,failure_event_count,capability_gate_status,solver_wall_time_current_ms,fallback_type,arm,arm_label,rmse_xy_m,rmse_z_m,rmse_3d_m,depth_equiv_error_m,depth_equiv_bias_m,current_speed_mps,target_loss_ratio,reacquire_success_ratio,mag_nis_mean,mag_nis_p95,mag_updates,sonar_input
combined__seed1,combined,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,2.55165554,0.00955372253,2.55167342,nan,nan,0,1,0,nan,nan,0,disabled
combined__seed2,combined,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,1.06440103,0.0123976643,1.06447323,nan,nan,0,1,0,nan,nan,0,disabled
combined__seed0,combined,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,17.9674362,0.0267376459,17.9674561,0.410278279,-0.00627823614,0,0,nan,4.08742395,15.5320609,240,disabled
combined__seed1,combined,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,11.407017,0.0268980388,11.4070487,0.3875009,-0.0176415026,0,0,nan,3.6523216,15.1831483,240,disabled
combined__seed2,combined,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,36.7711597,0.031806939,36.7711734,0.452205027,-0.020037755,0,0,nan,4.91924253,19.6465131,240,disabled
combined__seed0,combined,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,27.0351226,0.0107980131,27.0351248,nan,nan,0,0.167083333,1,nan,nan,0,confidence_only
combined__seed1,combined,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,2.55165554,0.00955372253,2.55167342,nan,nan,0,0.167083333,1,nan,nan,0,confidence_only
combined__seed2,combined,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,1.06440103,0.0123976643,1.06447323,nan,nan,0,0.167083333,1,nan,nan,0,confidence_only
combined__seed0,combined,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,25.9900368,0.0220777412,25.9900461,0.410278279,-0.00627823614,0,0,nan,2.55539505,11.1793924,240,confidence_only
combined__seed1,combined,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,25.9539186,0.0225183753,25.9539283,0.3875009,-0.0176415026,0,0,nan,2.32002004,11.1347927,240,confidence_only
combined__seed2,combined,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,35.1477257,0.024512037,35.1477343,0.452205027,-0.020037755,0,0,nan,3.24873331,13.3544135,240,confidence_only
combined__seed0,combined,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),25.9900368,0.0220777412,25.9900461,0.410278279,-0.00627823614,0,0,nan,2.55539505,11.1793924,240,confidence_only
combined__seed1,combined,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),25.9539186,0.0225183753,25.9539283,0.3875009,-0.0176415026,0,0,nan,2.32002004,11.1347927,240,confidence_only
combined__seed2,combined,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),35.1477257,0.024512037,35.1477343,0.452205027,-0.020037755,0,0,nan,3.24873331,13.3544135,240,confidence_only
combined__seed0,combined,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),21.353991,0.0195488043,21.354,0.410278279,-0.00627823614,0,0,nan,1.57477324,7.97701081,240,confidence_only
combined__seed1,combined,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),26.5014071,0.0203774569,26.501415,0.3875009,-0.0176415026,0,0,nan,1.470412,7.55388295,240,confidence_only
combined__seed2,combined,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),35.4831249,0.0219176847,35.4831317,0.452205027,-0.020037755,0,0,nan,1.93924025,9.47229671,240,confidence_only
