scenario,controller,variant,metric,value
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,yaw_p95_deg,74.25903538835925
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,progress_pct,64.38569206842924
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,mean_speed_mps,1.246569202411012
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,cmd_smoothness_deg2,3866.8866704402226
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,solve_success_rate,1.0
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,mean_solve_ms,12.437497559228548
chicane_90deg,mpc_preview_speed,xy_v2_track_hard,max_solve_ms,28.130916001828155
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,lateral_rmse_m,1.5261890850078617
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,lateral_p95_m,3.30382258219252
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,lateral_max_m,3.5873351076883764
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,yaw_rmse_deg,31.75041761236794
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,yaw_p95_deg,70.31977162114623
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,progress_pct,64.69673405909798
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,mean_speed_mps,1.2242234745503244
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,cmd_smoothness_deg2,3769.5464374126946
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,solve_success_rate,1.0
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,mean_solve_ms,12.540584864796578
chicane_90deg,mpc_preview_speed,xy_v3_speed_flexible,max_solve_ms,29.755874998954823
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,lateral_rmse_m,1.967060109108075
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,lateral_p95_m,4.326696652186676
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,lateral_max_m,4.608907554305283
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,yaw_rmse_deg,35.76888812114215
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,yaw_p95_deg,82.22022473207514
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,progress_pct,62.052877138413685
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,mean_speed_mps,1.2295494641812326
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,cmd_smoothness_deg2,3992.176979584891
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,solve_success_rate,1.0
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,mean_solve_ms,9.26452977581465
chicane_90deg,mpc_preview_speed,xy_v4_short_realtime,max_solve_ms,19.578374998673098
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,lateral_rmse_m,1.508892363821953
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,lateral_p95_m,3.12833074709087
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,lateral_max_m,3.3929619267625637
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,yaw_rmse_deg,30.61368858238853
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,yaw_p95_deg,67.55417948014343
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,progress_pct,64.23017107309487
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,mean_speed_mps,1.2072909584451772
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,cmd_smoothness_deg2,3705.706782904018
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,solve_success_rate,1.0
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,mean_solve_ms,9.937018116646936
chicane_90deg,mpc_preview_speed,xy_v5_yaw_strict,max_solve_ms,26.268583998898976
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,lateral_rmse_m,4.69454494478973
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,lateral_p95_m,13.27632409203319
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,lateral_max_m,17.109011395924043
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,yaw_rmse_deg,0.8834416454578629
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,yaw_p95_deg,2.0827243937157003
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,progress_pct,100.0
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,mean_speed_mps,1.1999999999999997
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,cmd_smoothness_deg2,6314.200688299448
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,solve_success_rate,1.0
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,mean_solve_ms,0.0
hairpin_180deg,pid_yaw_only_fixed_speed,baseline,max_solve_ms,0.0
hairpin_180deg,pid_los_fixed_speed,strong_baseline,lateral_rmse_m,4.692457500636383
hairpin_180deg,pid_los_fixed_speed,strong_baseline,lateral_p95_m,11.234595200986568
hairpin_180deg,pid_los_fixed_speed,strong_baseline,lateral_max_m,11.459322837201645
hairpin_180deg,pid_los_fixed_speed,strong_baseline,yaw_rmse_deg,62.08996857810973
hairpin_180deg,pid_los_fixed_speed,strong_baseline,yaw_p95_deg,160.7359374259316
hairpin_180deg,pid_los_fixed_speed,strong_baseline,progress_pct,94.16243654822335
hairpin_180deg,pid_los_fixed_speed,strong_baseline,mean_speed_mps,1.1999999999999997
hairpin_180deg,pid_los_fixed_speed,strong_baseline,cmd_smoothness_deg2,14043.478782072256
hairpin_180deg,pid_los_fixed_speed,strong_baseline,solve_success_rate,1.0
hairpin_180deg,pid_los_fixed_speed,strong_baseline,mean_solve_ms,0.0
hairpin_180deg,pid_los_fixed_speed,strong_baseline,max_solve_ms,0.0
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,lateral_rmse_m,2.303528699371036
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,lateral_p95_m,6.69002687265898
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,lateral_max_m,8.7105765218519
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,yaw_rmse_deg,13.923133292249657
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,yaw_p95_deg,36.0102887928865
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,progress_pct,100.0
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,mean_speed_mps,1.0600265243859561
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,cmd_smoothness_deg2,5748.935682910014
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,solve_success_rate,1.0
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,mean_solve_ms,11.276797857851761
hairpin_180deg,mpc_preview_speed,xy_v1_balanced,max_solve_ms,36.24137500082725
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,lateral_rmse_m,2.9159690859678764
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,lateral_p95_m,8.11301365715286
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,lateral_max_m,10.329212979767107
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,yaw_rmse_deg,24.81416336304845
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,yaw_p95_deg,60.00952135887658
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,progress_pct,100.0
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,mean_speed_mps,1.089611942585717
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,cmd_smoothness_deg2,5218.915575358357
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,solve_success_rate,1.0
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,mean_solve_ms,14.95198419369217
hairpin_180deg,mpc_preview_speed,xy_v2_track_hard,max_solve_ms,46.43299999952433
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,lateral_rmse_m,2.2766652096080904
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,lateral_p95_m,6.385525147999685
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,lateral_max_m,8.015072481156093
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,yaw_rmse_deg,2.221913856766764
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,yaw_p95_deg,4.808829577136819
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,progress_pct,100.0
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,mean_speed_mps,1.0452427580585202
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,cmd_smoothness_deg2,6162.5092889734715
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,solve_success_rate,1.0
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,mean_solve_ms,13.63730182197287
hairpin_180deg,mpc_preview_speed,xy_v3_speed_flexible,max_solve_ms,32.36558299977332
hairpin_180deg,mpc_preview_speed,xy_v4_short_realtime,lateral_rmse_m,2.959070153427074
hairpin_180deg,mpc_preview_speed,xy_v4_short_realtime,lateral_p95_m,8.223974181196258
hairpin_180deg,mpc_preview_speed,xy_v4_short_realtime,lateral_max_m,10.295512816136188
hairpin_180deg,mpc_preview_speed,xy_v4_short_realtime,yaw_rmse_deg,2.9320476787935936
hairpin_180deg,mpc_preview_speed,xy_v4_short_realtime,yaw_p95_deg,6.0080147065959135
hairpin_180deg,mpc_preview_speed,xy_v4_short_realtime,progress_pct,100.0
hairpin_180deg,mpc_preview_speed,xy_v4_short_realtime,mean_speed_mps,1.0809979057721093
hairpin_180deg,mpc_preview_speed,xy_v4_short_realtime,cmd_smoothness_deg2,6123.776566867024
hairpin_180deg,mpc_preview_speed,xy_v4_short_realtime,solve_success_rate,1.0
